Model,Scenario,Region,Variable,Unit,Year,Value
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2037,11.92
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2038,11.84
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2039,11.76
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2040,11.68
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2041,11.6
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2042,11.52
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2043,11.52
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2044,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2045,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2046,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2047,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2048,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2049,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,2050,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2015,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2016,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2017,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2018,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2019,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2020,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2021,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2022,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2023,9.722222222
