Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FORECAST-Sites,Scenario 6,Spain,Taxes|Secondary Energy|Hydrogen,EUR/GJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
FORECAST-Sites,Scenario 6,Spain,Taxes|Secondary Energy|Liquids|Biomass,EUR/GJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Electricity,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Liquids|Oil,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Solids|Coal,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Gases|Gas,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Solids|Biomass,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Heat|Solar,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Hydrogen,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Secondary Energy|Liquids|Biomass,EJ/yr,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FORECAST-Sites,Scenario 6,Spain,Price|Carbon,EUR/t CO2,6.3,6.8,18.3,27.9,28.6,59.7,84.7,85.7,65.1,70.1,80.0,96.45,112.9,129.35,145.8,162.25,178.7,195.15,211.6,228.05,244.5,260.95,277.4,293.85,310.3,326.75,343.2,359.65,376.1,392.55,409.0,397.0,385.0,373.0,361.0,349.0
